	words	document_8	document_6	document_19	document_20	document_3	document_12	document_1	document_4	document_9	document_14	document_15	document_2	document_11	document_5	document_7	document_16	document_18	document_13	document_17	document_10
276	Research	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
277	Middlesbrough	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
278	react	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
279	economy	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280	stationed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281	Chr	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282	key-and-spark	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
283	sesmic	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284	lists	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
285	scavenging	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
286	remembered	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
287	unzips	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
288	environmental	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
289	refrigerated	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
290	Bobby	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291	law	0	0	3	7	0	0	0	0	0	0	0	0	0	2	4	3	0	0	0	0
